comparison,update,level,subject,seed,difference,mean,median,sd
full_vs_stop_ess075,normalized,run,3.0,1788.0,0.04654720524573841,,,
full_vs_stop_ess075,normalized,run,3.0,3654.0,0.040352333739477886,,,
full_vs_stop_ess075,normalized,run,3.0,6398.0,0.04154809399889181,,,
full_vs_stop_ess075,normalized,run,8.0,1788.0,0.032818492142158484,,,
full_vs_stop_ess075,normalized,run,8.0,3654.0,0.028420984136262373,,,
full_vs_stop_ess075,normalized,run,8.0,6398.0,0.028337006221369143,,,
full_vs_stop_ess075,normalized,subject_mean,1.0,,0.037412869778537305,,,
full_vs_stop_ess075,normalized,subject_mean,3.0,,0.04281587766136937,,,
full_vs_stop_ess075,normalized,subject_mean,8.0,,0.02985882749993,,,
full_vs_stop_ess075,normalized,grand,,,,0.036695858313278894,0.03689349836712419,0.006122655661121768
full_vs_sw_ess075,normalized,run,1.0,1788.0,0.04927627653435229,,,
full_vs_sw_ess075,normalized,run,1.0,3654.0,0.04971012762121918,,,
full_vs_sw_ess075,normalized,run,1.0,6398.0,0.04593721546596319,,,
full_vs_sw_ess075,normalized,run,3.0,1788.0,0.056392795060006606,,,
full_vs_sw_ess075,normalized,run,3.0,3654.0,0.05278523452267592,,,
full_vs_sw_ess075,normalized,run,3.0,6398.0,0.054704591032058714,,,
full_vs_sw_ess075,normalized,run,8.0,1788.0,0.03785272375116211,,,
full_vs_sw_ess075,normalized,run,8.0,3654.0,0.03651246697093602,,,
full_vs_sw_ess075,normalized,run,8.0,6398.0,0.042946146033678856,,,
full_vs_sw_ess075,normalized,subject_mean,1.0,,0.04830787320717822,,,
full_vs_sw_ess075,normalized,subject_mean,3.0,,0.05462754020491375,,,
full_vs_sw_ess075,normalized,subject_mean,8.0,,0.039103778918592326,,,
full_vs_sw_ess075,normalized,grand,,,,0.04734639744356143,0.04927627653435229,0.007103914599810599
full_vs_stop_essmatch,normalized,run,1.0,1788.0,0.04578013842243933,,,
full_vs_stop_essmatch,normalized,run,1.0,3654.0,0.0447287576117954,,,
full_vs_stop_essmatch,normalized,run,1.0,6398.0,0.04382671710612662,,,
full_vs_stop_essmatch,normalized,run,3.0,1788.0,0.05079443240634007,,,
full_vs_stop_essmatch,normalized,run,3.0,3654.0,0.04748574786659532,,,
full_vs_stop_essmatch,normalized,run,3.0,6398.0,0.051905463413328246,,,
full_vs_stop_essmatch,normalized,run,8.0,1788.0,0.03705794882966018,,,
full_vs_stop_essmatch,normalized,run,8.0,3654.0,0.04089765037180415,,,
full_vs_stop_essmatch,normalized,run,8.0,6398.0,0.039366375214170524,,,
full_vs_stop_essmatch,normalized,subject_mean,1.0,,0.04477853771345378,,,
full_vs_stop_essmatch,normalized,subject_mean,3.0,,0.050061881228754546,,,
full_vs_stop_essmatch,normalized,subject_mean,8.0,,0.03910732480521162,,,
full_vs_stop_essmatch,normalized,grand,,,,0.04464924791580665,0.0447287576117954,0.005000431603019336
full_vs_sw_essmatch,normalized,run,1.0,1788.0,0.09210906197220592,,,
full_vs_sw_essmatch,normalized,run,1.0,3654.0,0.09144885878242892,,,
full_vs_sw_essmatch,normalized,run,1.0,6398.0,0.09263977206660179,,,
full_vs_sw_essmatch,normalized,run,3.0,1788.0,0.10410073165486144,,,
full_vs_sw_essmatch,normalized,run,3.0,3654.0,0.10238396458808363,,,
full_vs_sw_essmatch,normalized,run,3.0,6398.0,0.09845967129768773,,,
full_vs_sw_essmatch,normalized,run,8.0,1788.0,0.07337150054155905,,,
full_vs_sw_essmatch,normalized,run,8.0,3654.0,0.07481431182300724,,,
full_vs_sw_essmatch,normalized,run,8.0,6398.0,0.07910697095775066,,,
full_vs_sw_essmatch,normalized,subject_mean,1.0,,0.09206589760707888,,,
full_vs_sw_essmatch,normalized,subject_mean,3.0,,0.10164812251354427,,,
full_vs_sw_essmatch,normalized,subject_mean,8.0,,0.07576426110743899,,,
full_vs_sw_essmatch,normalized,grand,,,,0.08982609374268738,0.09210906197220592,0.01152591098465976
lpwp_q2_vs_sw,normalized,run,1.0,1788.0,0.001131072115713061,,,
lpwp_q2_vs_sw,normalized,run,1.0,3654.0,-0.0013077289755460964,,,
lpwp_q2_vs_sw,normalized,run,1.0,6398.0,-0.00329978999848779,,,
lpwp_q2_vs_sw,normalized,run,3.0,1788.0,0.00459491459761463,,,
lpwp_q2_vs_sw,normalized,run,3.0,3654.0,0.0010003025871618831,,,
lpwp_q2_vs_sw,normalized,run,3.0,6398.0,0.00037734758688168224,,,
lpwp_q2_vs_sw,normalized,run,8.0,1788.0,-0.0007742661694856157,,,
lpwp_q2_vs_sw,normalized,run,8.0,3654.0,0.0036641113320586838,,,
lpwp_q2_vs_sw,normalized,run,8.0,6398.0,0.0026569761241982404,,,
lpwp_q2_vs_sw,normalized,subject_mean,1.0,,-0.001158815619440275,,,
lpwp_q2_vs_sw,normalized,subject_mean,3.0,,0.001990854923886065,,,
lpwp_q2_vs_sw,normalized,subject_mean,8.0,,0.0018489404289237694,,,
lpwp_q2_vs_sw,normalized,grand,,,,0.0008936599111231865,0.0010003025871618831,0.0025007848671436805
lpwp_q4_vs_sw,normalized,run,1.0,1788.0,0.05406170020920198,,,
lpwp_q4_vs_sw,normalized,run,1.0,3654.0,0.05194768109853698,,,
lpwp_q4_vs_sw,normalized,run,1.0,6398.0,0.0535873014919932,,,
lpwp_q4_vs_sw,normalized,run,3.0,1788.0,0.06517155067936076,,,
lpwp_q4_vs_sw,normalized,run,3.0,3654.0,0.06441656389293504,,,
lpwp_q4_vs_sw,normalized,run,3.0,6398.0,0.0562279111899856,,,
lpwp_q4_vs_sw,normalized,run,8.0,1788.0,0.04199235627313802,,,
lpwp_q4_vs_sw,normalized,run,8.0,3654.0,0.04354654380873435,,,
lpwp_q4_vs_sw,normalized,run,8.0,6398.0,0.046399239282823745,,,
lpwp_q4_vs_sw,normalized,subject_mean,1.0,,0.05319889426657739,,,
lpwp_q4_vs_sw,normalized,subject_mean,3.0,,0.0619386752540938,,,
lpwp_q4_vs_sw,normalized,subject_mean,8.0,,0.04397937978823204,,,
lpwp_q4_vs_sw,normalized,grand,,,,0.05303898310296774,0.0535873014919932,0.008258146829355164
spectral_s1_vs_sw,normalized,run,1.0,1788.0,0.038903331825066334,,,
spectral_s1_vs_sw,normalized,run,1.0,3654.0,0.04119315221621367,,,
spectral_s1_vs_sw,normalized,run,1.0,6398.0,0.039409253748669215,,,
