method,calibration,update,subject,seed,epoch,beta_t,LEW_before,LEW_after_full,LEW_after_stop,LEW_after_stop_normmatched,delta_LEW_full,delta_LEW_stop,delta_LEW_stop_normmatched,full_minus_stop_delta_LEW,full_minus_normmatched_delta_LEW,norm_ratio_full_over_stop,bank_seed,bank_hash,diagnostic_ms
ebsw_full_ess050,ess050,normalized,3,6398,500,3510.207511867149,6.935513215263214,7.146311519535331,6.93098012677117,7.068191606834793,0.2107983042721173,-0.0045330884920433,0.132678391571579,0.2153313927641607,0.0781199127005383,2.713526133742762,131648,bf2ff73605a966b3451e54aea708f41710ee1033d75d14d9023e54dbd17958b3,53.29661187715829
ebsw_full_ess050,ess050,normalized,8,6398,0,28.030095581698387,10.270850778196136,9.568914972336984,9.689816608034253,9.171219040088983,-0.7019358058591525,-0.5810341701618853,-1.099631738107151,-0.1209016356972672,0.3976959322479985,2.5595721249769503,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,54.25840988755226
ebsw_full_ess050,ess050,normalized,8,6398,25,3494.987001286853,7.547926872601431,7.604191068629179,7.514284734491572,7.549705980564274,0.0562641960277474,-0.033642138109859,0.001779107962843,0.0899063341376065,0.0544850880649043,2.2257150033714748,6723,a6a2b278d97fda7809fb6952fddfd02497b0c4008e8dcc97c0efe98ec3380f2f,53.34059987217188
ebsw_full_ess050,ess050,normalized,8,6398,50,3842.7308982745344,7.4575122445556,7.510759089451809,7.430268783004215,7.46944245964116,0.0532468448962086,-0.027243461551385,0.0119302150855595,0.0804903064475937,0.0413166298106491,2.2108630427057223,7673,caa9b0e3db8eaa697f19673d40619f7bb8c14f888909b20ce6081e50649e8357,48.43550198711455
ebsw_full_ess050,ess050,normalized,8,6398,100,4121.670137024714,7.332268254443095,7.444316226316243,7.307495572774974,7.402546771140671,0.1120479718731477,-0.0247726816681206,0.0702785166975763,0.1368206535412683,0.0417694551755714,2.7172319452270792,11448,ce329fd37045ede4a896c6d61020267461f81847ac44dc26f0627205426cbfc9,60.239429119974375
ebsw_full_ess050,ess050,normalized,8,6398,200,4908.178988186555,7.223151731431304,7.2794649240221885,7.183817444322782,7.208185707532957,0.0563131925908848,-0.039334287108522,-0.0149660238983466,0.0956474796994069,0.0712792164892315,2.240546661783837,26498,3d8f838d21d883eb538072f0bf843118586cb6e35b9b47e3532999009f5a7b04,44.11356314085424
ebsw_full_ess050,ess050,normalized,8,6398,300,4145.3200102700885,7.099338858237843,7.279592857920531,7.091721271249775,7.200481108828674,0.1802539996826881,-0.0076175869880676,0.101142250590831,0.1878715866707558,0.0791117490918571,2.577849968684357,51548,c81d7780a5938294ea547be4da46f64a45fbda379c105e1edc8392e77976f631,59.4136118888855
ebsw_full_ess050,ess050,normalized,8,6398,400,4346.291799308472,7.023608848507619,7.064898391863975,6.993739853470751,7.032551393457014,0.0412895433563553,-0.0298689950368684,0.0089425449493951,0.0711585383932238,0.0323469984069602,2.252352462640524,86598,5caab922f616e19cccc18c579f9477540094e71d80032f8b17323ed9b12a069d,49.26916607655585
ebsw_full_ess050,ess050,normalized,8,6398,500,4401.903725154558,6.993216721593057,7.092712837117349,6.966277837935612,7.038292042252076,0.0994961155242926,-0.0269388836574444,0.045075320659019,0.126434999181737,0.0544207948652735,2.5328655283389585,131648,bf2ff73605a966b3451e54aea708f41710ee1033d75d14d9023e54dbd17958b3,68.99121310561895
ebsw_full_ess075,ess075,normalized,1,1788,0,67.36987913886378,7.00240537723237,6.579347846598311,6.692595322887478,6.531268656379004,-0.4230575306340594,-0.3098100543448918,-0.4711367208533659,-0.1132474762891675,0.0480791902193065,1.71814231589181,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,49.68575807288289
ebsw_full_ess075,ess075,normalized,1,1788,25,3099.7478056472173,5.825755410406918,5.832956780815354,5.80018965729614,5.802827935391931,0.0072013704084357,-0.0255657531107784,-0.0229274750149874,0.0327671235192141,0.0301288454234232,1.8347577622182465,2113,5df2e1802a297f5230b57ec5628c652c3a4d34270d9454b63beb6f4248ad2060,51.230073207989335
ebsw_full_ess075,ess075,normalized,1,1788,50,3484.203366083113,5.6488141078167695,5.669618518192936,5.6375620216801545,5.651033011998778,0.0208044103761668,-0.0112520861366149,0.0022189041820084,0.0320564965127818,0.0185855061941584,1.7993040227437147,3063,0072e7e6e518d75fb9fe53f0bd6a9fb8f0b1cadbbe76e1f45b3a34e62c0632ed,62.362408032640815
ebsw_full_ess075,ess075,normalized,1,1788,100,4476.025961946325,5.487961813202329,5.506081480846526,5.479866021393594,5.4903759578976405,0.0181196676441972,-0.0080957918087349,0.0024141446953116,0.0262154594529322,0.0157055229488856,1.6597898529225017,6838,e6855f361350fa477f6ac3b1e57e6a3fa84b70533c217669d08452241da95361,51.69426207430661
ebsw_full_ess075,ess075,normalized,1,1788,200,4154.177501628799,5.339950240254389,5.351689736931863,5.322062570132752,5.3293699276303785,0.0117394966774737,-0.0178876701216372,-0.0105803126240102,0.029627166799111,0.022319809301484,1.7688181966500958,21888,0464f2c2ee4e5555c04dbc1130dc2aff0e36ad7b218200ee1fab11a130ecfddc,53.84708102792501
ebsw_full_ess075,ess075,normalized,1,1788,300,3862.284345968371,5.208857239687485,5.2271155117688135,5.185751823280244,5.201427655873004,0.0182582720813284,-0.0231054164072412,-0.0074295838144813,0.0413636884885697,0.0256878558958097,2.154739854189735,46938,4f466c72e19b902d2fe8eb21bd838b6a22278efdfefbeb662b9545d45653c740,54.38523506745696
ebsw_full_ess075,ess075,normalized,1,1788,400,3966.3889675004098,5.124877707019396,5.139300580746909,5.104247841674416,5.1202101065098535,0.0144228737275131,-0.0206298653449792,-0.004667600509542,0.0350527390724924,0.0190904742370552,2.084406909647072,81988,1abdefbaee6ef8fed2ee44ec3938e77a7d8e930a7000037f5df5226ad7ba1e97,46.05492390692234
ebsw_full_ess075,ess075,normalized,1,1788,500,5219.413619383439,5.04608854665291,5.050644529644539,5.03060051646448,5.036614214704863,0.0045559829916292,-0.0154880301884299,-0.0094743319480468,0.0200440131800592,0.0140303149396761,1.661414472857564,127038,4b256f4b903147f9a73a25d128798c6b57eb09dcead0db5a72276572741e6836,45.1726159080863
ebsw_full_ess075,ess075,normalized,3,1788,0,29.326452100157816,10.198606317621376,9.557107181816855,9.736501187719597,9.409418237828444,-0.6414991358045192,-0.4621051299017793,-0.7891880797929307,-0.1793940059027399,0.1476889439884114,1.9190350260543112,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,63.6930400505662
ebsw_full_ess075,ess075,normalized,3,1788,25,1503.5834246632476,7.821488759349098,7.849005321852918,7.795936779854482,7.809090264434111,0.0275165625038198,-0.0255519794946161,-0.0123984949149864,0.053068541998436,0.0399150574188063,2.0414411577721867,2113,5df2e1802a297f5230b57ec5628c652c3a4d34270d9454b63beb6f4248ad2060,49.23221794888377
ebsw_full_ess075,ess075,normalized,3,1788,50,2543.8263916438787,7.61313481801339,7.583573275657962,7.575261760278825,7.570368311278839,-0.0295615423554282,-0.0378730577345649,-0.0427665067345506,0.0083115153791366,0.0132049643791223,1.9220167378836808,3063,0072e7e6e518d75fb9fe53f0bd6a9fb8f0b1cadbbe76e1f45b3a34e62c0632ed,46.019853791221976
ebsw_full_ess075,ess075,normalized,3,1788,100,2729.4728667162003,7.409956563186816,7.421912187336162,7.38184413215987,7.386261708208549,0.0119556241493459,-0.0281124310269467,-0.0236948549782676,0.0400680551762926,0.0356504791276135,1.9693666870822717,6838,e6855f361350fa477f6ac3b1e57e6a3fa84b70533c217669d08452241da95361,48.23642410337925
ebsw_full_ess075,ess075,normalized,3,1788,200,3213.7691148358517,7.0257484267869454,7.03755029413748,7.011371468492808,7.024348063176063,0.0118018673505346,-0.0143769582941377,-0.0014003636108821,0.0261788256446724,0.0132022309614168,1.854579329942839,21888,0464f2c2ee4e5555c04dbc1130dc2aff0e36ad7b218200ee1fab11a130ecfddc,57.34886578284204
ebsw_full_ess075,ess075,normalized,3,1788,300,3559.422205464328,6.816538818131343,6.850943763203273,6.813592172569864,6.82898876612969,0.0344049450719303,-0.0029466455614786,0.0124499479983475,0.0373515906334089,0.0219549970735828,1.6784554487065926,46938,4f466c72e19b902d2fe8eb21bd838b6a22278efdfefbeb662b9545d45653c740,52.65383003279567
ebsw_full_ess075,ess075,normalized,3,1788,400,3503.1139521098385,6.615803031364601,6.643092631193091,6.603964012822408,6.618514278960894,0.0272895998284896,-0.0118390185421928,0.0027112475962924,0.0391286183706824,0.0245783522321971,1.826215576035375,81988,1abdefbaee6ef8fed2ee44ec3938e77a7d8e930a7000037f5df5226ad7ba1e97,44.220903888344765
ebsw_full_ess075,ess075,normalized,3,1788,500,3516.146867102646,6.453453320327824,6.465357120663283,6.427310503121714,6.433198460872638,0.0119038003354594,-0.0261428172061091,-0.0202548594551856,0.0380466175415685,0.0321586597906451,1.946831803278194,127038,4b256f4b903147f9a73a25d128798c6b57eb09dcead0db5a72276572741e6836,45.19675695337355
ebsw_full_ess075,ess075,normalized,8,1788,0,21.972999719494567,10.270850778196136,9.65993996619011,9.76807143282786,9.31553503410376,-0.6109108120060256,-0.5027793453682765,-0.9553157440923776,-0.108131466637749,0.344404932086352,2.279801679676215,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,58.75545018352568
ebsw_full_ess075,ess075,normalized,8,1788,25,2241.246965964852,7.451353836705722,7.489834351551667,7.43843145720148,7.463038908110081,0.0384805148459452,-0.0129223795042419,0.0116850714043597,0.0514028943501871,0.0267954434415855,2.022550399090463,2113,5df2e1802a297f5230b57ec5628c652c3a4d34270d9454b63beb6f4248ad2060,47.3298488650471
ebsw_full_ess075,ess075,normalized,8,1788,50,2504.029863623072,7.363320069932138,7.382885203524081,7.337479507613365,7.34937857375067,0.0195651335919428,-0.0258405623187734,-0.0139414961814683,0.0454056959107163,0.0335066297734112,2.048447602874702,3063,0072e7e6e518d75fb9fe53f0bd6a9fb8f0b1cadbbe76e1f45b3a34e62c0632ed,52.86297015845776
ebsw_full_ess075,ess075,normalized,8,1788,100,3118.936413903285,7.152413828954368,7.174476330232613,7.135936550727791,7.150616655428416,0.0220625012782456,-0.016477278226576,-0.0017971735259516,0.0385397795048216,0.0238596748041972,1.9337691813840612,6838,e6855f361350fa477f6ac3b1e57e6a3fa84b70533c217669d08452241da95361,51.60214193165302
ebsw_full_ess075,ess075,normalized,8,1788,200,3438.1591622863752,6.935540755740473,6.958398026562016,6.929266475281916,6.944986569658066,0.022857270821543,-0.0062742804585571,0.0094458139175923,0.0291315512801002,0.0134114569039507,1.7152325016133554,21888,0464f2c2ee4e5555c04dbc1130dc2aff0e36ad7b218200ee1fab11a130ecfddc,47.810557996854186
ebsw_full_ess075,ess075,normalized,8,1788,300,3291.6864073986053,6.807611728125354,6.853512340563774,6.795798219303027,6.816238245270015,0.0459006124384195,-0.0118135088223274,0.0086265171446608,0.057714121260747,0.0372740952937586,1.9640698127345333,46938,4f466c72e19b902d2fe8eb21bd838b6a22278efdfefbeb662b9545d45653c740,50.51948199979961
ebsw_full_ess075,ess075,normalized,8,1788,400,3695.790997968419,6.673507562399063,6.710797602658549,6.675718132937325,6.696148690991154,0.037290040259486,0.0022105705382617,0.0226411285920908,0.0350794697212242,0.0146489116673951,1.6983514663405,81988,1abdefbaee6ef8fed2ee44ec3938e77a7d8e930a7000037f5df5226ad7ba1e97,43.69735601358116
