q,L,repeat,method,estimate,own_metric_reference,error
16,100,3,entropic,0.3754022378718273,0.3521125831997691,0.02328965467205818
16,100,3,evar,0.5496567605222347,0.5168421624452488,0.032814598076985835
16,100,3,cvar,0.5810056179733895,0.5242524329003955,0.056753185072993984
16,100,3,sampled_max,0.8928041789891914,1.1472011535764581,-0.25439697458726673
16,100,4,sw,0.30433211762879303,0.3315254891038292,-0.027193371475036143
16,100,4,ebsw_exp,0.33043829255631185,0.3764519859695811,-0.046013693413269274
16,100,4,power_ebsw,0.4103307684257449,0.46045034772148125,-0.05011957929573635
16,100,4,entropic,0.31695166284140336,0.3521125831997691,-0.035160920358365766
16,100,4,evar,0.44613303319599207,0.5168421624452488,-0.07070912924925676
16,100,4,cvar,0.47882720251629574,0.5242524329003955,-0.045425230384099735
16,100,4,sampled_max,0.6544222741960861,1.1472011535764581,-0.492778879380372
16,100,5,sw,0.3366636674904519,0.3315254891038292,0.005138178386622727
16,100,5,ebsw_exp,0.42548168384709606,0.3764519859695811,0.04902969787751493
16,100,5,power_ebsw,0.5002123855616492,0.46045034772148125,0.03976203784016791
16,100,5,entropic,0.3731783642618102,0.3521125831997691,0.0210657810620411
16,100,5,evar,0.574536216609481,0.5168421624452488,0.05769405416423212
16,100,5,cvar,0.5255202674338488,0.5242524329003955,0.0012678345334533603
16,100,5,sampled_max,1.0409181929047682,1.1472011535764581,-0.10628296067168996
16,100,6,sw,0.3376377879670284,0.3315254891038292,0.00611229886319925
16,100,6,ebsw_exp,0.3687188286982169,0.3764519859695811,-0.007733157271364199
16,100,6,power_ebsw,0.4395842631888064,0.46045034772148125,-0.020866084532674856
16,100,6,entropic,0.3525337220355794,0.3521125831997691,0.00042113883581029743
16,100,6,evar,0.486571590237984,0.5168421624452488,-0.030270572207264812
16,100,6,cvar,0.515269576291417,0.5242524329003955,-0.008982856608978462
16,100,6,sampled_max,0.7357832796366015,1.1472011535764581,-0.4114178739398566
16,100,7,sw,0.3185123846198679,0.3315254891038292,-0.013013104483961258
16,100,7,ebsw_exp,0.3452407493653184,0.3764519859695811,-0.031211236604262727
16,100,7,power_ebsw,0.4183299490336224,0.46045034772148125,-0.04212039868785883
16,100,7,entropic,0.33139569437749394,0.3521125831997691,-0.02071688882227518
16,100,7,evar,0.46046431518484454,0.5168421624452488,-0.05637784726040429
16,100,7,cvar,0.49514604885667174,0.5242524329003955,-0.029106384043723732
16,100,7,sampled_max,0.6972469667204727,1.1472011535764581,-0.4499541868559854
16,100,8,sw,0.3428352487115354,0.3315254891038292,0.011309759607706249
16,100,8,ebsw_exp,0.3908340329352452,0.3764519859695811,0.014382046965664086
16,100,8,power_ebsw,0.487502660336207,0.46045034772148125,0.027052312614725738
