dataset,control,method,family,L,subject,seed,d,n_source,n_target,status,error,lew_initial,lew_final,diverged,optimization_seconds,evaluation_seconds,aggregation_seconds
Schirrmeister2017,common_lr10000,cvar_a0p1,cvar,40,1,6398,128,320,160,ok,,99.47222961282488,5.6660571855833414e+79,True,0.9140969282016158,0.15982012078166,0.1566682506818078
Schirrmeister2017,common_lr10000,sampled_max_l40,sampled_max,40,1,6398,128,320,160,ok,,99.47222961282488,1.4415754771338694e+288,True,0.9003043598495424,0.1498151393607258,0.0771331118885189
Schirrmeister2017,common_lr10000,spdsw_l40,sw,40,1,3654,128,320,160,ok,,99.47222961282488,90.34091028173108,True,0.8413743707351387,0.1901474350597709,0.0841667442582302
Schirrmeister2017,common_lr10000,spdsw_l500,sw,500,1,3654,128,320,160,ok,,99.47222961282488,82.11927937880263,False,3.7828966591041535,0.1879438729956746,0.1003131000324829
Schirrmeister2017,common_lr10000,ebsw_exp_default_b1,ebsw_exp,40,1,3654,128,320,160,ok,,99.47222961282488,90.35703433357868,True,0.9413975630886852,0.1895589781925082,0.12224817648527421
Schirrmeister2017,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,1,3654,128,320,160,ok,,99.47222961282488,2.2531072173584812e+282,True,0.920032030204311,0.1486114452127367,0.1219079012516644
Schirrmeister2017,common_lr10000,evar_k0p1,evar,40,1,3654,128,320,160,ok,,99.47222961282488,151756.16960637656,True,1.6970863179303706,0.2021836352068931,0.8696742975152768
Schirrmeister2017,common_lr10000,evar_k0p5,evar,40,1,3654,128,320,160,ok,,99.47222961282488,1.9852321652477096e+31,True,1.7908254358917477,0.2007785022724419,0.9405122646130362
Schirrmeister2017,common_lr10000,evar_k1p0,evar,40,1,3654,128,320,160,ok,,99.47222961282488,1.399448345184339e+68,True,1.828919826541096,0.1713209026493132,0.9706843383609998
Schirrmeister2017,common_lr10000,evar_k2p0,evar,40,1,3654,128,320,160,ok,,99.47222961282488,1.7395091342901328e+146,True,1.8479854189790783,0.1581943393684923,0.9880839134566237
Schirrmeister2017,common_lr10000,cvar_a0p5,cvar,40,1,3654,128,320,160,ok,,99.47222961282488,32267.55374866557,True,0.9563432149589062,0.1962596513330936,0.16216018679549268
Schirrmeister2017,common_lr10000,cvar_a0p2,cvar,40,1,3654,128,320,160,ok,,99.47222961282488,3.335162801157963e+29,True,0.9486095607280732,0.2035868386738002,0.1617462064604958
Schirrmeister2017,common_lr10000,cvar_a0p1,cvar,40,1,3654,128,320,160,ok,,99.47222961282488,7.285522915068455e+79,True,0.948715461883694,0.1616011862643063,0.1617328084539373
Schirrmeister2017,common_lr10000,sampled_max_l40,sampled_max,40,1,3654,128,320,160,ok,,99.47222961282488,3.091100141753752e+282,True,0.8945270564872772,0.1495755710639059,0.0665066025685265
Schirrmeister2017,common_lr10000,spdsw_l40,sw,40,1,1788,128,320,160,ok,,99.47222961282488,90.40065270187556,True,0.868479622527957,0.1904896425548941,0.08660075720397178
Schirrmeister2017,common_lr10000,spdsw_l500,sw,500,1,1788,128,320,160,ok,,99.47222961282488,82.13687550916156,False,3.836456772871316,0.1897248171735555,0.10560160409656699
Schirrmeister2017,common_lr10000,ebsw_exp_default_b1,ebsw_exp,40,1,1788,128,320,160,ok,,99.47222961282488,90.42479220625262,True,0.9158382965251805,0.188619488151744,0.12033783458170771
Schirrmeister2017,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,1,1788,128,320,160,ok,,99.47222961282488,6.6288786805804554e+280,True,0.9070209835190326,0.148429591441527,0.1194596365093943
Schirrmeister2017,common_lr10000,evar_k0p1,evar,40,1,1788,128,320,160,ok,,99.47222961282488,168918.2548992527,True,1.6682367494795471,0.1968255341053009,0.862934278789883
Schirrmeister2017,common_lr10000,evar_k0p5,evar,40,1,1788,128,320,160,ok,,99.47222961282488,1.1156794395390927e+31,True,1.7898850850760937,0.1981713369023054,0.9397815607953571
Schirrmeister2017,common_lr10000,evar_k1p0,evar,40,1,1788,128,320,160,ok,,99.47222961282488,2.7206581168636573e+69,True,1.819005909143016,0.1687891818583011,0.9650345887057232
Schirrmeister2017,common_lr10000,evar_k2p0,evar,40,1,1788,128,320,160,ok,,99.47222961282488,3.8249689870040197e+143,True,1.848358721937984,0.1586470566689968,0.9870833924505606
Schirrmeister2017,common_lr10000,cvar_a0p5,cvar,40,1,1788,128,320,160,ok,,99.47222961282488,36543.82539588686,True,0.949029415147379,0.1926666120998561,0.16029254719612548
Schirrmeister2017,common_lr10000,cvar_a0p2,cvar,40,1,1788,128,320,160,ok,,99.47222961282488,5.712294408406076e+29,True,0.942768355133012,0.19950274634175,0.160094310529505
Schirrmeister2017,common_lr10000,cvar_a0p1,cvar,40,1,1788,128,320,160,ok,,99.47222961282488,9.118766370157492e+78,True,0.9477557300124316,0.1622795732691884,0.16155515634452272
Schirrmeister2017,common_lr10000,sampled_max_l40,sampled_max,40,1,1788,128,320,160,ok,,99.47222961282488,7.440440414271652e+280,True,0.8603208276908845,0.1479294574819505,0.06516163283956529
Schirrmeister2017,common_lr10000,spdsw_l40,sw,40,7,6398,128,880,160,ok,,136.03759893329186,108.88190290529356,False,1.4190014784689993,0.5558304046280682,0.0863870326429353
Schirrmeister2017,common_lr10000,spdsw_l500,sw,500,7,6398,128,880,160,ok,,136.03759893329186,104.8387301541832,False,7.736827267101034,0.5537522279191762,0.1172404685057454
Schirrmeister2017,common_lr10000,ebsw_exp_default_b1,ebsw_exp,40,7,6398,128,880,160,ok,,136.03759893329186,108.86622003560564,False,1.4969721506349742,0.552226344589144,0.1238016444258146
Schirrmeister2017,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,7,6398,128,880,160,ok,,136.03759893329186,2.8978636090313716e+64,True,1.493173754774034,0.4307874462101608,0.12348289624785341
Schirrmeister2017,common_lr10000,evar_k0p1,evar,40,7,6398,128,880,160,ok,,136.03759893329186,110.65774032447412,False,2.2781409956514835,0.5506949056871235,0.8759136777370905
Schirrmeister2017,common_lr10000,evar_k0p5,evar,40,7,6398,128,880,160,ok,,136.03759893329186,1137.0394909416343,True,2.350756778847426,0.5520069871563464,0.9489989534485836
Schirrmeister2017,common_lr10000,evar_k1p0,evar,40,7,6398,128,880,160,ok,,136.03759893329186,831524935.558574,True,2.594286244129762,0.7613592678681016,1.1188691416755068
Schirrmeister2017,common_lr10000,evar_k2p0,evar,40,7,6398,128,880,160,ok,,136.03759893329186,5.195349829505954e+24,True,2.608974013943225,0.6479594209231436,1.079841544153143
Schirrmeister2017,common_lr10000,cvar_a0p5,cvar,40,7,6398,128,880,160,ok,,136.03759893329186,109.62411864605114,False,1.5404114346019924,0.5507449123542756,0.1702743803616374
Schirrmeister2017,common_lr10000,cvar_a0p2,cvar,40,7,6398,128,880,160,ok,,136.03759893329186,496.4070855509197,True,1.5370181072503328,0.5525873214937747,0.1700038805138076
Schirrmeister2017,common_lr10000,cvar_a0p1,cvar,40,7,6398,128,880,160,ok,,136.03759893329186,15092593063.938269,True,1.5362279911059886,0.694722139975056,0.17307180166242
Schirrmeister2017,common_lr10000,sampled_max_l40,sampled_max,40,7,6398,128,880,160,ok,,136.03759893329186,6.844686572304927e+63,True,1.460435057291761,0.4309808420948684,0.0729956123977655
Schirrmeister2017,common_lr10000,spdsw_l40,sw,40,7,3654,128,880,160,ok,,136.03759893329186,108.91423429894058,False,1.4374309901613742,0.5544806546531618,0.0932349401991559
Schirrmeister2017,common_lr10000,spdsw_l500,sw,500,7,3654,128,880,160,ok,,136.03759893329186,104.87619768667696,False,7.865052420180291,0.5576398323755711,0.12417165446092669
Schirrmeister2017,common_lr10000,ebsw_exp_default_b1,ebsw_exp,40,7,3654,128,880,160,ok,,136.03759893329186,108.90218087708809,False,1.5347132440656424,0.5532213516999036,0.13065945566629278
Schirrmeister2017,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,7,3654,128,880,160,ok,,136.03759893329186,2.0861127603460662e+65,True,1.537579397438094,0.4235574640333652,0.13080086582337713
Schirrmeister2017,common_lr10000,evar_k0p1,evar,40,7,3654,128,880,160,ok,,136.03759893329186,110.80760787950103,False,2.3162356370594352,0.5533635548781604,0.8848572599235673
Schirrmeister2017,common_lr10000,evar_k0p5,evar,40,7,3654,128,880,160,ok,,136.03759893329186,1142.5756181384104,True,2.4311947610694915,0.5599828367121518,0.9740615531336259
Schirrmeister2017,common_lr10000,evar_k1p0,evar,40,7,3654,128,880,160,ok,,136.03759893329186,676499848.3373096,True,2.4384644895326346,0.6615974479354918,0.9899476391728721
Schirrmeister2017,common_lr10000,evar_k2p0,evar,40,7,3654,128,880,160,ok,,136.03759893329186,5.831043195784521e+23,True,2.516701304819435,0.6211285693570971,1.0080002071335652
Schirrmeister2017,common_lr10000,cvar_a0p5,cvar,40,7,3654,128,880,160,ok,,136.03759893329186,109.7848434476237,False,1.540086707798764,0.5467994522769004,0.1692213069181641
Schirrmeister2017,common_lr10000,cvar_a0p2,cvar,40,7,3654,128,880,160,ok,,136.03759893329186,479.94348938704354,True,1.5509600315708667,0.5544134983792901,0.17183546884914208
Schirrmeister2017,common_lr10000,cvar_a0p1,cvar,40,7,3654,128,880,160,ok,,136.03759893329186,10151322641.94845,True,1.53595869243145,0.6863724926952273,0.1694386608432728
Schirrmeister2017,common_lr10000,sampled_max_l40,sampled_max,40,7,3654,128,880,160,ok,,136.03759893329186,9.940027552114141e+63,True,1.4882514886558056,0.4351289318874478,0.0733868123497564
Schirrmeister2017,common_lr10000,spdsw_l40,sw,40,7,1788,128,880,160,ok,,136.03759893329186,109.01831855480305,False,1.4524950564373285,0.5517787577118725,0.09244377072898091
Schirrmeister2017,common_lr10000,spdsw_l500,sw,500,7,1788,128,880,160,ok,,136.03759893329186,104.90458071490929,False,7.863489439245313,0.552088484633714,0.1226554454769691
Schirrmeister2017,common_lr10000,ebsw_exp_default_b1,ebsw_exp,40,7,1788,128,880,160,ok,,136.03759893329186,109.00484649694154,False,1.5434451082255691,0.5591333883348852,0.1319273621774956
Schirrmeister2017,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,7,1788,128,880,160,ok,,136.03759893329186,5.226719117383668e+63,True,1.5401100150775164,0.4259970032144338,0.1306606314610435
Schirrmeister2017,common_lr10000,evar_k0p1,evar,40,7,1788,128,880,160,ok,,136.03759893329186,110.86550212703892,False,2.321046947967261,0.548761724261567,0.885785178747003
Schirrmeister2017,common_lr10000,evar_k0p5,evar,40,7,1788,128,880,160,ok,,136.03759893329186,925.6211559042754,True,2.401612957008183,0.554400896653533,0.9592663454822947
Schirrmeister2017,common_lr10000,evar_k1p0,evar,40,7,1788,128,880,160,ok,,136.03759893329186,623052404.1495899,True,2.480311252642423,0.6915394745301455,0.9997562519274407
Schirrmeister2017,common_lr10000,evar_k2p0,evar,40,7,1788,128,880,160,ok,,136.03759893329186,2.065229048007808e+24,True,2.509849234484136,0.6320745849516243,1.0039697841275244
Schirrmeister2017,common_lr10000,cvar_a0p5,cvar,40,7,1788,128,880,160,ok,,136.03759893329186,109.73430154476146,False,1.5438037391286343,0.5556900813244283,0.1707128849811606
Schirrmeister2017,common_lr10000,cvar_a0p2,cvar,40,7,1788,128,880,160,ok,,136.03759893329186,521.7016062988421,True,1.5429914377164096,0.5552344494499266,0.17061209981327258
Schirrmeister2017,common_lr10000,cvar_a0p1,cvar,40,7,1788,128,880,160,ok,,136.03759893329186,9299741856.882406,True,1.549280774081126,0.6917733375448734,0.1723643564618878
Schirrmeister2017,common_lr10000,sampled_max_l40,sampled_max,40,7,1788,128,880,160,ok,,136.03759893329186,1.0988677151785467e+65,True,1.4879365011584014,0.4237915691919625,0.0731240599415948
Schirrmeister2017,common_lr10000,spdsw_l40,sw,40,14,6398,128,880,160,ok,,490.2453968723957,283.158135725466,False,1.4569118553772569,0.707043219357729,0.0929822798352429
Schirrmeister2017,common_lr10000,spdsw_l500,sw,500,14,6398,128,880,160,ok,,490.2453968723957,229.54564840051103,False,7.87997056148015,0.7071311338804662,0.1248896501492456
Schirrmeister2017,common_lr10000,ebsw_exp_default_b1,ebsw_exp,40,14,6398,128,880,160,ok,,490.2453968723957,282.5926825541245,False,1.5389521170873195,0.7000425453297794,0.1307419571093963
Schirrmeister2017,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,14,6398,128,880,160,ok,,490.2453968723957,1.7564355303172807e+65,True,1.5428802059032023,0.4429988928604871,0.1310164835303766
Schirrmeister2017,common_lr10000,evar_k0p1,evar,40,14,6398,128,880,160,ok,,490.2453968723957,341.3194836636035,False,2.314739742083475,0.6684483655262738,0.8800793907139204
Schirrmeister2017,common_lr10000,evar_k0p5,evar,40,14,6398,128,880,160,ok,,490.2453968723957,27510.728178325146,True,2.783344322815537,0.822040727827698,1.2073417652863752
Schirrmeister2017,common_lr10000,evar_k1p0,evar,40,14,6398,128,880,160,ok,,490.2453968723957,38341396956.02951,True,2.547349680913612,0.8211652915924788,1.0122029774356385
Schirrmeister2017,common_lr10000,evar_k2p0,evar,40,14,6398,128,880,160,ok,,490.2453968723957,1.7700034803312497e+26,True,2.535944868810475,0.61378277791664,1.028226425638397
Schirrmeister2017,common_lr10000,cvar_a0p5,cvar,40,14,6398,128,880,160,ok,,490.2453968723957,331.7666174808228,False,1.558316188165918,0.6782067164313048,0.1783323490526277
Schirrmeister2017,common_lr10000,cvar_a0p2,cvar,40,14,6398,128,880,160,ok,,490.2453968723957,10672.528586673996,True,1.5655117481946943,0.6770881284028292,0.1782756433821967
Schirrmeister2017,common_lr10000,cvar_a0p1,cvar,40,14,6398,128,880,160,ok,,490.2453968723957,386233554148.2746,True,1.5598210194148123,0.8267796628642827,0.1771887557115152
Schirrmeister2017,common_lr10000,sampled_max_l40,sampled_max,40,14,6398,128,880,160,ok,,490.2453968723957,1.7560547467177851e+65,True,1.5042930445633829,0.4527982731815427,0.0775647191330534
Schirrmeister2017,common_lr10000,spdsw_l40,sw,40,14,3654,128,880,160,ok,,490.2453968723957,285.6687512407869,False,1.4643217558041215,0.7109197352547199,0.0944698732346042
Schirrmeister2017,common_lr10000,spdsw_l500,sw,500,14,3654,128,880,160,ok,,490.2453968723957,230.7258175874859,False,7.890241262735799,0.7114293635822833,0.1321824223268523
Schirrmeister2017,common_lr10000,ebsw_exp_default_b1,ebsw_exp,40,14,3654,128,880,160,ok,,490.2453968723957,284.9604073788652,False,1.5533984759822488,0.7157791745848954,0.1345112258568163
Schirrmeister2017,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,14,3654,128,880,160,ok,,490.2453968723957,1.1239553027419844e+67,True,1.541331812972203,0.4463737267069518,0.13087753579018008
Schirrmeister2017,common_lr10000,evar_k0p1,evar,40,14,3654,128,880,160,ok,,490.2453968723957,345.67839377208975,False,2.3350425022654235,0.6774126621894538,0.8912998533341785
Schirrmeister2017,common_lr10000,evar_k0p5,evar,40,14,3654,128,880,160,ok,,490.2453968723957,31592.735409797955,True,2.4713933700695634,0.6891992609016597,0.9820383277255798
Schirrmeister2017,common_lr10000,evar_k1p0,evar,40,14,3654,128,880,160,ok,,490.2453968723957,11840155679.603138,True,2.5399225966539234,0.8219014920759946,1.0095135585870347
Schirrmeister2017,common_lr10000,evar_k2p0,evar,40,14,3654,128,880,160,ok,,490.2453968723957,2.764832647764503e+25,True,2.551535837119445,0.6278610888402909,1.029487584251886
Schirrmeister2017,common_lr10000,cvar_a0p5,cvar,40,14,3654,128,880,160,ok,,490.2453968723957,330.7526700898944,False,1.5631495625711975,0.6815989634487778,0.1783364128786828
Schirrmeister2017,common_lr10000,cvar_a0p2,cvar,40,14,3654,128,880,160,ok,,490.2453968723957,10038.419531802849,True,1.5634760248940438,0.6886763470247388,0.1780089447274551
Schirrmeister2017,common_lr10000,cvar_a0p1,cvar,40,14,3654,128,880,160,ok,,490.2453968723957,235804360701.4469,True,1.559538905043155,0.8347586798481643,0.1767917450051503
Schirrmeister2017,common_lr10000,sampled_max_l40,sampled_max,40,14,3654,128,880,160,ok,,490.2453968723957,1.1042276769172436e+67,True,1.495537339244038,0.479186225682497,0.07784679555331661
Schirrmeister2017,common_lr10000,spdsw_l40,sw,40,14,1788,128,880,160,ok,,490.2453968723957,284.2120024166087,False,1.4516039139125496,0.7072930980939418,0.09310023160648881
Schirrmeister2017,common_lr10000,spdsw_l500,sw,500,14,1788,128,880,160,ok,,490.2453968723957,230.70972017416872,False,7.86220255238004,0.7041175421327353,0.12299826205705598
Schirrmeister2017,common_lr10000,ebsw_exp_default_b1,ebsw_exp,40,14,1788,128,880,160,ok,,490.2453968723957,283.34059784766737,False,1.5529853969346732,0.7026379362214357,0.1303942075464628
Schirrmeister2017,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,14,1788,128,880,160,ok,,490.2453968723957,1.57182274614643e+65,True,1.5462973602116108,0.4331086438614875,0.1293721522669992
Schirrmeister2017,common_lr10000,evar_k0p1,evar,40,14,1788,128,880,160,ok,,490.2453968723957,341.22138892761166,False,2.3445150679908693,0.6677810770925134,0.8916172406170264
Schirrmeister2017,common_lr10000,evar_k0p5,evar,40,14,1788,128,880,160,ok,,490.2453968723957,28621.608206593683,True,2.434855210129172,0.6727171558886766,0.9607151842210195
Schirrmeister2017,common_lr10000,evar_k1p0,evar,40,14,1788,128,880,160,ok,,490.2453968723957,5519926462.195842,True,2.525748668704182,0.7981741747353226,0.9954535127617168
Schirrmeister2017,common_lr10000,evar_k2p0,evar,40,14,1788,128,880,160,ok,,490.2453968723957,7.649201806221048e+25,True,2.5203750312794,0.6021014142315835,1.007419175934022
Schirrmeister2017,common_lr10000,cvar_a0p5,cvar,40,14,1788,128,880,160,ok,,490.2453968723957,327.10233953819903,False,1.554894550703466,0.6707423727493733,0.17209360445847033
Schirrmeister2017,common_lr10000,cvar_a0p2,cvar,40,14,1788,128,880,160,ok,,490.2453968723957,10486.686855733948,True,1.5669554444029927,0.7062830415088683,0.1808071006089192
Schirrmeister2017,common_lr10000,cvar_a0p1,cvar,40,14,1788,128,880,160,ok,,490.2453968723957,292257176217.96954,True,1.5284912541974336,0.8110918251331896,0.1700160519685343
Schirrmeister2017,common_lr10000,sampled_max_l40,sampled_max,40,14,1788,128,880,160,ok,,490.2453968723957,8.773926791205733e+65,True,1.4623531610704958,0.4364929592702538,0.0730543066747237
