phase,control,method,family,hierarchical,sigma,L,subject,seed,lew_initial,lew_final,relative_lew_auc,gap_closure_100,gap_closure_500,diverged,nan_count,optimization_seconds,aggregation_seconds,median_ess,median_entropy
development,normalized_update,direct_lns_l40_s1p5,lognormal_spectral,False,1.5,40,3,6398,71.12992527977076,68.66215086975677,0.9819542349922119,3.4693898528750724,,False,0,0.6671872921288013,0.047307636588806504,7.183782036030212,2.641596138899872
development,normalized_update,direct_lns_l40_s1p5,lognormal_spectral,False,1.5,40,4,6398,89.9337188259475,87.46601260602229,0.9858500507843188,2.743916577831125,,False,0,0.6809914640616626,0.0470159349497357,7.183782036030212,2.641596138899872
development,normalized_update,lns_spdhsw_k40_l500_s0p5,lognormal_spectral,True,0.5,500,2,6398,92.15362001420192,85.81910778283549,0.964696857144485,6.873861526427515,,False,0,0.7836870404426008,0.04985979432239581,389.6917731566058,6.0897145670217245
development,normalized_update,lns_spdhsw_k40_l500_s0p5,lognormal_spectral,True,0.5,500,3,6398,71.12992527977076,66.13261886038084,0.9635070003189188,7.02560335855033,,False,0,0.8006053389981389,0.04829163057729111,389.6917731566058,6.0897145670217245
development,normalized_update,lns_spdhsw_k40_l500_s0p5,lognormal_spectral,True,0.5,500,4,6398,89.9337188259475,84.79927027600434,0.9705678404258391,5.709147377614921,,False,0,0.8183874939568341,0.04926092573441051,389.6917731566058,6.0897145670217245
development,normalized_update,lns_spdhsw_k40_l500_s1,lognormal_spectral,True,1.0,500,2,6398,92.15362001420192,86.40883192833054,0.9680197022744923,6.233925574476663,,False,0,0.7863267923239619,0.04837187379598109,188.24073761048203,5.716247880429664
development,normalized_update,lns_spdhsw_k40_l500_s1,lognormal_spectral,True,1.0,500,3,6398,71.12992527977076,66.6734137036617,0.9674472674851624,6.265311763762656,,False,0,0.8033801624551415,0.049619372468436694,188.24073761048203,5.716247880429664
development,normalized_update,lns_spdhsw_k40_l500_s1,lognormal_spectral,True,1.0,500,4,6398,89.9337188259475,85.30672714413508,0.9734291192378222,5.144890862088362,,False,0,0.8153948755934834,0.04848183481953521,188.24073761048203,5.716247880429664
development,normalized_update,lns_spdhsw_k40_l500_s1p25,lognormal_spectral,True,1.25,500,2,6398,92.15362001420192,86.73447896890472,0.9698563699539605,5.880551457948199,,False,0,0.7863956750370562,0.0493880743160794,113.04575811692484,5.438108443507271
development,normalized_update,lns_spdhsw_k40_l500_s1p25,lognormal_spectral,True,1.25,500,3,6398,71.12992527977076,66.93321452301993,0.9693381462421634,5.900063496825253,,False,0,0.800420003477484,0.048743525054300796,113.04575811692484,5.438108443507271
development,normalized_update,lns_spdhsw_k40_l500_s1p25,lognormal_spectral,True,1.25,500,4,6398,89.9337188259475,85.57241201997846,0.9749338915976545,4.849467878015426,,False,0,0.81444834289141,0.0481247121933799,113.04575811692484,5.438108443507271
development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,1.5,500,2,6398,92.15362001420192,87.08987185376675,0.9718658404067801,5.494898800128293,,False,0,0.7879740099888295,0.0500247376039577,64.04491590372793,5.101708248313571
development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,1.5,500,3,6398,71.12992527977076,67.20494479691133,0.9713042988890213,5.518043871720027,,False,0,0.7996475854888558,0.0483540501445485,64.04491590372793,5.101708248313571
development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,1.5,500,4,6398,89.9337188259475,85.85483158856822,0.9765553880023241,4.535437087032194,,False,0,0.8133531359490007,0.04813368991016811,64.04491590372793,5.101708248313571
development,normalized_update,normalized_spdhsw_k40_l500,lognormal_spectral,True,0.0,500,2,6398,92.15362001420192,85.26943817901162,0.9615491628800451,7.470332510138369,,False,0,0.777714830590412,0.0405822484753975,500.0000000000001,6.214608098422191
development,normalized_update,normalized_spdhsw_k40_l500,lognormal_spectral,True,0.0,500,3,6398,71.12992527977076,65.51061218998171,0.9588755049751656,7.900068877743036,,False,0,0.7921820615883917,0.0407167081721075,500.0000000000001,6.214608098422191
development,normalized_update,normalized_spdhsw_k40_l500,lognormal_spectral,True,0.0,500,4,6398,89.9337188259475,84.29704150888598,0.9677088008564724,6.26759061078127,,False,0,0.8081279178149998,0.0415083419065873,500.0000000000001,6.214608098422191
development,normalized_update,spdsw_l40,sw,False,0.0,40,2,6398,92.15362001420192,85.27236056597064,0.9615007845993974,7.467161297809891,,False,0,0.6504982232581824,0.0402603039983604,39.99999999999999,3.6888794541139367
development,normalized_update,spdsw_l40,sw,False,0.0,40,3,6398,71.12992527977076,65.5843157878164,0.9592397231162321,7.796450608013683,,False,0,0.657686460763216,0.0391836573835415,39.99999999999999,3.6888794541139367
development,normalized_update,spdsw_l40,sw,False,0.0,40,4,6398,89.9337188259475,84.49566441752961,0.9687784621393273,6.046735839916037,,False,0,0.6711873484309763,0.03921234281733121,39.99999999999999,3.6888794541139367
development,normalized_update,spdsw_l500,sw,False,0.0,500,2,6398,92.15362001420192,71.05236316919685,0.8688994795646429,22.89791420212589,,False,0,3.580359267070889,0.04353500693104689,500.0000000000001,6.214608098422191
development,normalized_update,spdsw_l500,sw,False,0.0,500,3,6398,71.12992527977076,54.869491624120265,0.865504445826127,22.86018661160458,,False,0,3.716178733855486,0.041469739051530896,500.0000000000001,6.214608098422191
development,normalized_update,spdsw_l500,sw,False,0.0,500,4,6398,89.9337188259475,73.45651852568028,0.8941534316064461,18.321493334614832,,False,0,3.751254260307178,0.043381404597307695,500.0000000000001,6.214608098422191
