method,sampling,aggregation,update,subject,seed,threshold_relative_lew,required_reduction_pct,reached,first_reach_epoch,first_reach_optimization_ms,first_reach_total_projection_count
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,1788,0.95,5.000000000000004,True,1.0,2.4766437709331512,500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,1788,0.9,9.999999999999998,True,3.0,6.181788630783558,1500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,1788,0.8,19.999999999999996,True,12.0,22.289359709247947,6000.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,1788,0.7,30.000000000000004,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,1788,0.6,40.0,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,1788,0.95,5.000000000000004,True,1.0,2.4459760170429945,500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,1788,0.9,9.999999999999998,True,2.0,4.180218325927854,1000.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,1788,0.8,19.999999999999996,True,6.0,11.634093010798097,3000.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,1788,0.7,30.000000000000004,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,1788,0.6,40.0,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,3654,0.95,5.000000000000004,True,1.0,2.369769150391221,500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,3654,0.9,9.999999999999998,True,3.0,5.8332765474915504,1500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,3654,0.8,19.999999999999996,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,3654,0.7,30.000000000000004,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,3654,0.6,40.0,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,3654,0.95,5.000000000000004,True,1.0,2.7886603493243456,500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,3654,0.9,9.999999999999998,True,3.0,5.947280675172806,1500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,3654,0.8,19.999999999999996,True,8.0,14.780547702685,4000.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,3654,0.7,30.000000000000004,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,3654,0.6,40.0,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,3654,0.95,5.000000000000004,True,1.0,2.2344267927110195,500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,3654,0.9,9.999999999999998,True,2.0,4.035583697259426,1000.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,3654,0.8,19.999999999999996,True,6.0,11.417888337746264,3000.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,3654,0.7,30.000000000000004,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,3654,0.6,40.0,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,6398,0.95,5.000000000000004,True,2.0,118.67407104000448,1000.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,6398,0.9,9.999999999999998,True,3.0,120.50700839608908,1500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,6398,0.8,19.999999999999996,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,6398,0.7,30.000000000000004,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,6398,0.6,40.0,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,6398,0.95,5.000000000000004,True,1.0,2.5457728188484907,500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,6398,0.9,9.999999999999998,True,3.0,6.409291876479983,1500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,6398,0.8,19.999999999999996,True,12.0,21.834039827808738,6000.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,6398,0.7,30.000000000000004,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,3,6398,0.6,40.0,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,6398,0.95,5.000000000000004,True,1.0,2.099363133311272,500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,6398,0.9,9.999999999999998,True,2.0,4.256214015185833,1000.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,6398,0.8,19.999999999999996,True,6.0,12.632971396669744,3000.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,6398,0.7,30.000000000000004,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,8,6398,0.6,40.0,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,1788,0.95,5.000000000000004,True,2.0,4.131504334509373,1000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,1788,0.9,9.999999999999998,True,4.0,7.622783537954092,2000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,1788,0.8,19.999999999999996,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,1788,0.7,30.000000000000004,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,1788,0.6,40.0,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,1788,0.95,5.000000000000004,True,2.0,4.752549808472395,1000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,1788,0.9,9.999999999999998,True,4.0,8.242113050073385,2000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,1788,0.8,19.999999999999996,True,10.0,19.524319330230355,5000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,1788,0.7,30.000000000000004,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,1788,0.6,40.0,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,1788,0.95,5.000000000000004,True,2.0,3.923574462532997,1000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,1788,0.9,9.999999999999998,True,3.0,5.575254326686263,1500.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,1788,0.8,19.999999999999996,True,7.0,12.547100894153118,3500.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,1788,0.7,30.000000000000004,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,1788,0.6,40.0,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,3654,0.95,5.000000000000004,True,2.0,5.111832870170474,1000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,3654,0.9,9.999999999999998,True,4.0,9.605891536921265,2000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,3654,0.8,19.999999999999996,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,3654,0.7,30.000000000000004,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,3654,0.6,40.0,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,0.95,5.000000000000004,True,2.0,5.179295781999826,1000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,0.9,9.999999999999998,True,3.0,7.631782907992601,1500.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,0.8,19.999999999999996,True,9.0,20.80015721730888,4500.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,0.7,30.000000000000004,False,,,
