dataset,phase,control,method,subject,seed,mean_consecutive_spearman,median_consecutive_spearman,mean_consecutive_top5_overlap,fraction_directions_ever_top5,mean_absolute_rank_transition,median_weight_entropy,median_effective_directions
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,3,3654,0.9972346193324737,0.9990619136960602,0.9963927855711423,0.325,0.2658316633266533,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,4,3654,0.9946301608846211,0.9973733583489681,0.9923847695390782,0.45,0.46292585170340683,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,2,6398,0.9978309339128539,0.9994371482176362,0.9963927855711423,0.3,0.22424849699398797,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,3,6398,0.9989889723161144,0.9998123827392121,0.9959919839679359,0.325,0.12294589178356713,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,4,6398,0.9953246079400829,0.9983114446529082,0.9939879759519038,0.375,0.4522044088176353,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,raw_sgd_lr3000,fixed_lns_k40_s0p5,2,1788,0.9651298845345475,1.0,0.9703406813627254,0.825,0.4634268537074148,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,raw_sgd_lr3000,fixed_lns_k40_s0p5,3,1788,0.9639455270766675,1.0,0.9735470941883768,0.85,0.49509018036072144,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,raw_sgd_lr3000,fixed_lns_k40_s0p5,4,1788,0.9646249346723466,1.0,0.9727454909819638,0.8,0.4835671342685371,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,raw_sgd_lr3000,fixed_lns_k40_s0p5,2,3654,0.9614989829565322,1.0,0.9695390781563127,0.875,0.5098196392785571,3.5653840079794463,31.364932507994244
Schirrmeister2017,development,raw_sgd_lr3000,fixed_lns_k40_s0p5,3,3654,0.9677723176183511,1.0,0.9739478957915831,0.7,0.4407815631262525,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,raw_sgd_lr3000,fixed_lns_k40_s0p5,4,3654,0.965727703060906,1.0,0.9715430861723447,0.8,0.4598196392785571,3.5653840079794463,31.364932507994244
Schirrmeister2017,development,raw_sgd_lr3000,fixed_lns_k40_s0p5,2,6398,0.9625803201149015,1.0,0.9703406813627254,0.825,0.5011022044088176,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,raw_sgd_lr3000,fixed_lns_k40_s0p5,3,6398,0.9654945914342757,1.0,0.9755511022044089,0.85,0.4827655310621243,3.5653840079794463,31.364932507994244
Schirrmeister2017,development,raw_sgd_lr3000,fixed_lns_k40_s0p5,4,6398,0.9652791511728899,1.0,0.9675350701402806,0.825,0.47334669338677354,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,2,1788,0.9996461967086142,1.0,0.9975951903807615,0.275,0.041983967935871745,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,3,1788,0.9996315332353262,1.0,0.9967935871743486,0.325,0.04438877755511022,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,4,1788,0.9997165061830979,1.0,0.9971943887775552,0.3,0.03727454909819639,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,2,3654,0.9996695078712773,1.0,0.9991983967935872,0.175,0.03507014028056112,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,3,3654,0.9997067305342392,1.0,0.9979959919839679,0.25,0.03907815631262525,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,4,3654,0.9997702722518207,1.0,0.9975951903807615,0.225,0.032264529058116234,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,2,6398,0.9996950749529077,1.0,0.9975951903807615,0.275,0.03867735470941884,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,3,6398,0.999636045073261,1.0,0.9979959919839679,0.25,0.04238476953907815,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,4,6398,0.9997071065207338,1.0,0.9971943887775552,0.3,0.03617234468937876,3.6888794541139367,39.99999999999999
